	Bom								
"2027,""Agora, só resta a saudade 😢"""	Ruim								
22088,escola amanhã? to fora	Ruim								
20664,Os cara do pânico não perdoa jkkkkkkkkk	Ruim								
18976,TWO TWEETS IN TEN MINUTES? WE'VE BEEN BLESSED TODAY https://t.co/jKXzvGtV2P	Bom								
21907,A diversão da minha vida é ouvir covers de minhas musicas preferidas	Bom								
5385,Ah Paloma quer pq quer senta no pai	Neutro								
"21113,""@khauani_Duarte to até c saudade dele, sabia"""	Bom								
4824,reconciliação com a pessoa que você ama é a melhor coisa do mundo ❤️	Bom								
8246,To brava  #askbelieber	Ruim								
22248,@Magrao_SCCP @guipaoficial Fmz chocador de Aurora !	Neutro								
1695,meu pe ta doendo só de ve as foto credo	Ruim								
21740,Vai Wilber. Continua seguindo o baile	Neutro								
183,@changyuxs partiu	Bom								
11072,essa foi pra acabar com o ano...	Ruim								
"18396,""Drogon: Não mexam com a mamãe! "	Ruim								
#Dracarys🔥🔥	Neutro								
"#GOTBr #GameOfThrones #GoTS7 https://t.co/ZCyBmTM0bT"""	Ruim								
13521,Todos os meus amigos tão  com problemas meio sérios e eu tô me sentindo meio inútil por não conseguir fazer eles se sentirem melhores	Ruim								
4244,aí q xexelenta	Bom								
18297,a que ponto eu cheguei vendo reality de encontros amorosos ?	Neutro								
19332,Mo parada	Ruim								
2591,ah mas eu vou ver de novo sim	Bom								
"10075,""To querendo muito que me chame amanha pra conversarmos bastante, quero sair com voce &lt"	Bom								
404,acho que 2017 vai ser o ano em que eu vou mostrar alguma gravação minha para os meus pais sem ser forçada ou me sentir mal com isso	Bom								
15485,Séloco mó frio https://t.co/oO1KGXAre5	Ruim								
8636,JOAO PEDRO PARA DE TWITTAR NA MINHA CONTA DEMONIO	Ruim								
13118,preciso de pazzzzzz de tudo ☮ https://t.co/siFvS7hCKy	Ruim								
14515,Meu sonho de princesa de ter minha cama king vai ser realizado com essa reforma que estou fazendo no meu quartinho	Bom								
9126,Vou investigar  #askbelieber	Bom								
9448,DRACARYS NA PORRA TODAAAAAAAAAAAAAA!!!!!! #GoTS7	Neutro								
13090,é*	Neutro								
6423,sjsiahsuahshahahauauahaauuaahaahauahakakaakakajajakakakakahsuahsuasuuashah https://t.co/ARvV5LWgpX	Ruim								
17659,Mindinho forçando amizade com o Bran #GOT7	Ruim								
13190,E assim terminamos o sarau: Fernanda Zara chorando e prof. Daniel querendo nos levar pro teatro municipal rsrsrs	Neutro								
20523,@Anatavares015 ficou bonitinho vai	Bom								
7999,SIM https://t.co/RlO0pr8T1c	Bom								
"22694,""meu sonho de princesa saber de onde tiram q eu namoro "	Ruim								
só se for a solidão 	Ruim								
os boletos 	Neutro								
"as série"""	Bom								
1120,Mas se tem uma coisa que estou é feliz	Bom								
"20333,""Porque garotas não mordem "	Bom								
"A menos que você peça 🎶"""	Neutro								
"17594,""Na teoria o Jaime pode morrer afogado.....pode!"	Ruim								
"Mas não faria o menor sentido narrativamente falando. #GameOfThrones"""	Ruim								
"23268,""Esses dias tocou sua cara na escola, fiquei como ?"""	Neutro								
"15602,""Minha família inteira """"Próximo casamento é seu em Sa"""" claro lindos, arrumem a noiva que eu caso"""	Bom								
"20961,""uma coisa que era pra ser fácil e """"prazerosa"""" acaba ficando massante"""	Ruim								
13995,NÃAAAOOOOOO #IveteAvontade https://t.co/ZpDyZpt0mS	Ruim								
5918,A que dorme no meio da conversa? Eu mesma	Bom								
"10428,""Tão inútil é o orgulho, passageiro é o mundo..."""	Ruim								
19330,to triste pq meus pulsos estão mais marcados ainda	Ruim								
21169,minha própria irmã me fazendo cair no gemidão	Neutro								
7675,Meu Deus que vontade de comer algo doceeee	Bom								
"12318,""oik eh lindo msm ne, como pode"""	Bom								
3409,Deveria ter ido p pagode!!!!!	Ruim								
22185,Ok preciso dormir	Bom								
16529,Amo❤️❤️❤️❤️ https://t.co/uC6NI8RRnN	Bom								
10241,Que dor no peito :x	Ruim								
839,pisão https://t.co/LZBOGUVxl2	Neutro								
"10920,""Vou dormir, boa noite"""	Bom								
6594,Doe orgãos #Fantástico	Bom								
9266,Estou tão orgulhosa da pessoa que estou me tornando	Bom								
"17534,""Olá, não tenho assunto mas tenho interesse."""	Bom								
"17020,""@Oliverasmath E quem me viu, se visse hoje não acreditaria"""	Bom								
"10601,""tive piercings em vários lugares e nenhum foi tão filho da puta quanto esse na parte da cartilagem da orelha, saporra nunca mais cicatrizou"""	Ruim								
22837,Só de pensar que eu tenho q acordar cedo ja bate mó tristeza	Ruim								
"21681,""Tô deixando rolar, o que for pra ser, será... e o que não for, vai da um jeito de sumir da minha vida e chegar algo muito melhor! ?"""	Bom								
11979,Boa noite mundo	Bom								
18495,ADOROOOOOOOOO https://t.co/VrMhcg0zl6	Bom								
18678,Eu https://t.co/Y2OymOF2cF	Bom								
"8328,""@crvgabs Sim gabi, to complicado, as pessoas so me chamam pra comer, assim não dáaaaaa"""	Ruim								
15897,FODA SE MEU ANJO	Ruim								
21327,@netto_lolo @_arthurvital ngm liga mane	Neutro								
10555,@bemyguest__ @EduNFL @Madden_in_Brasi @mimentz @LauraPeconick EU TBMM EUUUU	Bom								
10999,Linda mesmo	Bom								
14707,só agradece 🙌🏻	Bom								
